Ticker,Date,Sector,Open,High,Low,Close,Volume,Daily_Return,Price_Change,Price_Change_Pct,SMA_20,SMA_50,SMA_200,EMA_20,EMA_26,MACD,MACD_Signal,MACD_Hist,ADX,RSI,Stoch_K,Stoch_D,Williams_R,BB_Upper,BB_Middle,BB_Lower,BB_Width,ATR,OBV,Volume_SMA_20,Signal_Score,Signal,RSI_Signal
HEROMOTOCO.NS,2026-07-22,Auto,5050.0,5113.0,4970.7001953125,4987.10009765625,877032,-0.0093,-62.9,-1.25,4907.415014648437,4932.714013671875,5359.61541015625,4933.30541825983,4934.0440985793675,8.622085340726699,-6.137178084434156,14.759263425160855,11.405944607784173,54.86524209306191,56.436019950259514,76.42487516423743,-43.563980049740486,5029.1796787768935,4907.415014648437,4785.650350519981,4.962476732250839,97.49790736890385,15170128,778545.35,1,Weak Buy,Neutral
HINDALCO.NS,2026-07-22,Metals,955.0,961.9500122070312,945.2000122070312,950.0,4055572,-0.0015,-5.0,-0.52,955.8089477539063,1020.2954577636718,926.8998806762695,965.6664021477438,972.8444074087349,-15.837628338705144,-18.22486297932131,2.387234640616164,18.194763132422818,40.57542600807434,17.94871794871795,21.517960177907124,-82.05128205128206,976.8555556548757,955.8089477539063,934.7623398529369,4.403936152811229,21.994105401192346,215345848,5410486.1,1,Weak Buy,Neutral
HINDUNILVR.NS,2026-07-22,FMCG,2139.699951171875,2159.89990234375,2130.0,2154.60009765625,818989,0.0056,14.9,0.7,2154.2900146484376,2153.774169921875,2272.9159564208985,2146.9875096389865,2149.7570233074202,-7.22200967245908,-6.709961715397705,-0.512047957061375,12.013664593381018,50.93816292339929,42.88609353727218,36.817261159044754,-57.11390646272782,2220.506759571722,2154.2900146484376,2088.0732697251533,6.147430891201557,37.16148188291009,-31130445,1723594.5,-1,Weak Sell,Neutral
ICICIBANK.NS,2026-07-22,Banking,1466.4000244140625,1466.4000244140625,1438.4000244140625,1440.699951171875,8344695,-0.0153,-25.7,-1.75,1409.6499816894532,1334.8539965820312,1346.1945025634766,1407.164017619354,1394.9378029695026,30.38850996092242,28.790977616317317,1.5975323446051028,36.28846128157867,64.54978986172898,62.24778285785313,76.12732838725877,-37.75221714214687,1461.447063754508,1409.6499816894532,1357.8528996243983,7.348928136469238,25.747148858267224,-185961666,12783380.2,3,Strong Buy,Neutral
INDUSINDBK.NS,2026-07-22,Banking,1058.0,1077.8499755859375,1055.6500244140625,1069.300048828125,5069101,0.0055,11.3,1.07,991.0424987792969,943.3651159667969,877.9542544555665,1000.6202939448774,988.5542118487724,32.896357845409284,27.281708221665863,5.614649623743421,37.00668085147087,74.0006461663927,93.70171141229282,95.0534911344091,-6.298288587707182,1084.7366899154824,991.0424987792969,897.3483076431114,18.90820852820985,24.350874513443777,201935302,2514768.7,1,Weak Buy,Overbought
INFY.NS,2026-07-22,IT,1064.0,1069.300048828125,1046.199951171875,1052.0999755859375,7509345,-0.0199,-11.9,-1.12,1057.9199981689453,1104.1863903808594,1336.662518005371,1074.564154258685,1078.9440843079171,-6.246112140025161,-10.525126775284543,4.279014635259381,12.74984913863364,43.95327595210395,22.792320354265904,53.87153545250223,-77.2076796457341,1117.0660905178331,1057.9199981689453,998.7739058200576,11.181581301281417,30.599421405153354,-207011251,12176531.15,-1,Weak Sell,Neutral
ITC.NS,2026-07-22,FMCG,280.5,282.20001220703125,278.5,280.79998779296875,12993715,-0.0007,0.3,0.11,284.2824996948242,287.6060522460937,325.43276443481443,283.1729133585671,284.12081002788966,-2.421323440567619,-2.329166170837805,-0.09215726972981386,21.726323216406765,42.85767542654204,34.939672653134764,39.15661210885578,-65.06032734686524,294.20622762498857,284.2824996948242,274.3587717646598,6.981596081937822,4.075635680193103,-530157505,12605753.75,-3,Strong Sell,Neutral
JSWSTEEL.NS,2026-07-22,Steel,1264.5,1279.300048828125,1261.699951171875,1266.9000244140625,3988730,-0.0004,2.4,0.19,1233.8368103027344,1260.3104565429687,1199.6427758789061,1244.5765557226496,1245.5627739049874,0.18970410879001065,-5.333395306090536,5.523099414880547,14.73213910537638,57.191779585890345,81.52010973577546,86.56884370763221,-18.479890264224537,1266.196503292221,1233.8368103027344,1201.4771173132478,5.245376490517704,23.896124880614984,37261951,1625265.9,2,Buy,Neutral
KOTAKBANK.NS,2026-07-22,Banking,384.29998779296875,390.0,378.1499938964844,381.1499938964844,11688022,-0.0124,-3.15,-0.82,386.8674560546875,388.4495098876953,404.12608520507814,385.2048338763847,386.0337425266017,-2.6747162289976814,-2.536290911552457,-0.13842531744522457,17.488422991946898,46.26168261029878,40.568882758604154,43.14581502698601,-59.431117241395846,408.39773739272715,386.8674560546875,365.3371747166479,11.130572500260199,8.891476915803116,-64817384,19138395.75,-3,Strong Sell,Neutral
LT.NS,2026-07-22,Infrastructure,3835.0,3843.300048828125,3806.199951171875,3817.39990234375,1156970,-0.0076,-17.6,-0.46,3966.540002441406,3995.814443359375,3936.573819580078,3923.479832777613,3943.761606352151,-66.43364811000993,-49.11886995228928,-17.314778157720646,28.275864661617955,36.15634275250903,16.61135412319498,20.32051604451529,-83.38864587680501,4250.646634982683,3966.540002441406,3682.433369900129,14.325161595063173,66.95942305316778,18495255,2087982.45,-3,Strong Sell,Neutral
LTF.NS,2026-07-22,NBFC,307.3500061035156,310.6499938964844,303.6499938964844,305.8999938964844,4876061,-0.0028,-1.45,-0.47,313.98499908447263,292.0277984619141,285.1445797729492,308.98106068096047,306.5339941411651,4.444472916887548,7.471451573006161,-3.0269786561186125,23.45548492216199,49.807930062588646,14.285668575048856,13.317799891105807,-85.71433142495114,334.83070426504645,313.98499908447263,293.1392939038988,13.278153568709575,9.526562618718787,223675583,8262302.45,1,Weak Buy,Neutral
M&M.NS,2026-07-22,Auto,3198.0,3219.89990234375,3166.89990234375,3175.300048828125,1784309,-0.0082,-22.7,-0.71,3133.1897216796874,3075.7531494140626,3335.5381372070315,3129.240533618031,3120.209482119594,25.869086680568216,20.929325002245328,4.939761678322888,11.341984760347534,55.70955222845635,68.25633201734875,75.02666478403948,-31.743667982651246,3225.894740117139,3133.1897216796874,3040.484703242236,5.917612827336412,67.5045362562818,-10998633,2445947.65,1,Weak Buy,Neutral
MARUTI.NS,2026-07-22,Auto,13596.0,13719.0,13491.0,13545.0,299367,-0.0038,-51.0,-0.38,13883.1,13479.66,14655.59,13722.106525292622,13700.296656532426,9.613478564662728,82.29101600714716,-72.67753744248444,15.72873475606779,46.48143882466946,15.76,15.633437073437085,-84.24,14581.875471807445,13883.1,13184.324528192556,10.066562537292748,300.5033284348392,12421571,561188.85,-1,Weak Sell,Neutral
NESTLEIND.NS,2026-07-22,FMCG,1460.300048828125,1510.0,1454.0,1493.5999755859375,6542429,0.0287,33.3,2.28,1435.8616027832031,1415.9808569335937,1307.9918585205078,1436.692970611141,1431.745703245408,13.292273689577996,10.497822262941867,2.7944514266361296,17.588026028191404,67.87165786440401,84.3660432820033,70.34193298702532,-15.633956717996698,1490.45827298417,1435.8616027832031,1381.2649325822363,7.604725984055757,29.79402566127923,30775102,2006377.1,2,Buy,Neutral
NTPC.NS,2026-07-22,Power,347.3999938964844,350.8500061035156,345.6499938964844,350.5,7033777,0.0056,3.1,0.89,350.5850006103516,364.11699768066404,356.09564331054685,351.0085017570883,353.20036426031015,-4.704680056021857,-5.502620777483395,0.7979407214615382,23.23205500206409,46.05105908533161,51.507553486289325,42.39887336888006,-48.492446513710675,361.1168589002458,350.5850006103516,340.05314232045737,6.008162512120461,6.37593278286859,64219737,11546308.65,-1,Weak Sell,Neutral
