Date,Ticker,Strategy_Equity,Close,BuyHold_Equity
2026-01-21,GRASIM.NS,96481.43,2735.60009765625,100352.78
2026-01-22,GRASIM.NS,96481.43,2787.60009765625,102260.35
2026-01-23,GRASIM.NS,96481.43,2759.0,101211.18
2026-01-27,GRASIM.NS,96481.43,2856.199951171875,104776.87
2026-01-28,GRASIM.NS,96481.43,2839.10009765625,104149.57
2026-01-29,GRASIM.NS,96229.95,2831.699951171875,103878.11
2026-01-30,GRASIM.NS,95798.37,2819.0,103412.22
2026-02-02,GRASIM.NS,94289.52,2774.60009765625,101783.46
2026-02-03,GRASIM.NS,95455.13,2808.89990234375,103041.71
2026-02-04,GRASIM.NS,96678.53,2844.89990234375,104362.33
2026-02-05,GRASIM.NS,97324.2,2863.89990234375,105059.33
2026-02-06,GRASIM.NS,96406.66,2836.89990234375,104068.86
2026-02-09,GRASIM.NS,99444.76,2926.300048828125,107348.42
2026-02-10,GRASIM.NS,100382.68,2953.89990234375,108360.89
2026-02-11,GRASIM.NS,99658.85,2932.60009765625,107579.53
2026-02-12,GRASIM.NS,99417.57,2925.5,107319.07
2026-02-13,GRASIM.NS,98143.2,2888.0,105943.42
2026-02-16,GRASIM.NS,98982.58,2912.699951171875,106849.51
2026-02-17,GRASIM.NS,98564.59,2900.39990234375,106398.3
2026-02-18,GRASIM.NS,99699.63,2933.800048828125,107623.55
2026-02-19,GRASIM.NS,97337.8,2864.300048828125,105074.01
2026-02-20,GRASIM.NS,96267.34,2832.800048828125,103918.46
2026-02-23,GRASIM.NS,97647.04,2873.39990234375,105407.83
2026-02-24,GRASIM.NS,97847.55,2879.300048828125,105624.27
2026-02-25,GRASIM.NS,97816.96,2878.39990234375,105591.25
2026-02-26,GRASIM.NS,97310.61,2863.5,105044.66
2026-02-27,GRASIM.NS,95145.89,2799.800048828125,102707.89
2026-03-02,GRASIM.NS,95145.89,2777.300048828125,101882.5
2026-03-04,GRASIM.NS,95145.89,2683.199951171875,98430.53
2026-03-05,GRASIM.NS,95145.89,2724.10009765625,99930.91
2026-03-06,GRASIM.NS,95145.89,2718.39990234375,99721.81
2026-03-09,GRASIM.NS,95145.89,2681.199951171875,98357.16
2026-03-10,GRASIM.NS,95145.89,2743.89990234375,100657.25
2026-03-11,GRASIM.NS,95145.89,2735.60009765625,100352.78
2026-03-12,GRASIM.NS,95145.89,2673.10009765625,98060.03
2026-03-13,GRASIM.NS,95145.89,2568.60009765625,94226.55
2026-03-16,GRASIM.NS,95145.89,2654.39990234375,97374.03
2026-03-17,GRASIM.NS,95145.89,2683.300048828125,98434.2
2026-03-18,GRASIM.NS,95145.89,2723.10009765625,99894.23
2026-03-19,GRASIM.NS,95145.89,2607.89990234375,95668.22
2026-03-20,GRASIM.NS,95145.89,2616.300048828125,95976.37
2026-03-23,GRASIM.NS,95145.89,2531.10009765625,92850.9
2026-03-24,GRASIM.NS,95145.89,2549.39990234375,93522.21
2026-03-25,GRASIM.NS,95145.89,2647.800048828125,97131.92
2026-03-27,GRASIM.NS,95145.89,2628.199951171875,96412.91
2026-03-30,GRASIM.NS,95145.89,2557.699951171875,93826.69
2026-04-01,GRASIM.NS,95145.89,2592.800048828125,95114.3
2026-04-02,GRASIM.NS,95145.89,2564.10009765625,94061.47
2026-04-06,GRASIM.NS,95145.89,2614.39990234375,95906.67
2026-04-07,GRASIM.NS,95145.89,2621.0,96148.79
2026-04-08,GRASIM.NS,95145.89,2756.199951171875,101108.46
2026-04-09,GRASIM.NS,95145.89,2740.5,100532.53
2026-04-10,GRASIM.NS,95145.89,2742.60009765625,100609.57
2026-04-13,GRASIM.NS,95145.89,2713.0,99523.72
2026-04-15,GRASIM.NS,95145.89,2741.39990234375,100565.54
2026-04-16,GRASIM.NS,95145.89,2717.300048828125,99681.46
2026-04-17,GRASIM.NS,95145.89,2720.5,99798.85
2026-04-20,GRASIM.NS,95145.89,2760.10009765625,101251.54
2026-04-21,GRASIM.NS,95752.59,2777.699951171875,101897.17
2026-04-22,GRASIM.NS,95714.68,2776.60009765625,101856.82
2026-04-23,GRASIM.NS,94280.64,2735.0,100330.77
2026-04-24,GRASIM.NS,94428.88,2739.300048828125,100488.51
2026-04-27,GRASIM.NS,95769.83,2778.199951171875,101915.51
2026-04-28,GRASIM.NS,95935.3,2783.0,102091.6
2026-04-29,GRASIM.NS,96631.63,2803.199951171875,102832.61
2026-04-30,GRASIM.NS,96331.72,2794.5,102513.46
