Date,Ticker,Sector,Open,High,Low,Close,Volume,Daily_Return,Price_Change,Price_Change_Pct,SMA_20,SMA_50,SMA_200,EMA_20,EMA_26,MACD,MACD_Signal,MACD_Hist,ADX,RSI,Stoch_K,Stoch_D,Williams_R,BB_Upper,BB_Middle,BB_Lower,BB_Width,ATR,OBV,Volume_SMA_20,Signal_Score,Signal,RSI_Signal
2026-01-22,HDFCBANK.NS,Banking,912.9011151422527,913.1962220288154,898.3419283315923,903.75244140625,44444755,-0.0018,-9.15,-1.0,938.849462890625,963.4658117675781,,932.2055487174964,938.5780159849268,-17.824396968787255,-15.280794912507298,-2.5436020562799566,32.67229664817266,25.390254894468313,5.901284703457972,8.332743260787701,-94.09871529654203,995.3358824461505,938.849462890625,882.3630433350994,12.033115379671083,13.88083069576158,-238209188,26877612.7,0,Neutral,Oversold
2026-01-23,HDFCBANK.NS,Banking,905.0312717738813,911.0319985807623,894.4561781091321,901.1947021484375,30985247,-0.0028,-3.84,-0.42,935.1112884521484,962.0777673339844,,929.2521347585384,935.8088816266684,-18.0643267440214,-15.83750127881012,-2.226825465211281,33.50221142101223,24.526033962632837,11.923365995121546,7.720051127842936,-88.07663400487844,991.1736150522972,935.1112884521484,879.0489618519996,11.990514346788927,14.073329965466481,-269194435,27958832.4,0,Neutral,Oversold
2026-01-27,HDFCBANK.NS,Banking,891.2590997657288,916.0490999795524,890.2753700750383,911.3272094726562,44753093,0.0112,20.07,2.25,931.8994140625,960.8343347167969,,927.5449990170258,933.9954244300749,-17.238153456657187,-16.117631714379534,-1.1205217422776528,33.53312507673266,34.09608540513146,41.593824879425206,19.806158526001564,-58.406175120574794,985.6354423963537,931.8994140625,878.1633857286463,11.532581204144803,14.909072818255595,-224441342,29519199.6,-2,Sell,Neutral
2026-01-28,HDFCBANK.NS,Banking,917.3279002643548,926.1322926560076,913.2946327089841,917.524658203125,35347138,0.0068,0.2,0.02,929.0367584228516,959.5781127929688,,926.5906808442734,932.7753676725231,-15.900037125304266,-16.07411279656448,0.17407567126021561,32.2755302543812,39.17617668487973,57.70832514998074,37.07517200817582,-42.29167485001926,979.3199322923507,929.0367584228516,878.7535845533524,10.824797493451324,14.901644987191007,-189094204,29628764.05,0,Neutral,Neutral
2026-01-29,HDFCBANK.NS,Banking,914.9669494914904,924.0172745375145,909.310503842987,920.2791137695312,37175628,0.003,5.31,0.58,926.2970703125,958.4576452636719,,925.9895792181075,931.8497192352644,-14.450729730766739,-15.749436183404933,1.2987064526381946,31.43274862429809,41.340423268151675,66.88599175254427,55.39604726065006,-33.11400824745572,972.0119306394574,926.2970703125,880.5822099855425,9.870453398181406,14.887725394857895,-151918576,30939372.75,0,Neutral,Neutral
2026-01-30,HDFCBANK.NS,Banking,914.8685955943554,923.6238136980638,912.6552038308206,914.1307983398438,29691233,-0.0067,-0.74,-0.08,923.2524261474609,957.1719116210937,,924.8601715154157,930.5372065763444,-13.641015712562762,-15.327752089236501,1.686736376673739,30.650165682078057,38.083034300198584,56.79151646867506,60.461944457066686,-43.20848353132494,963.3462676544118,923.2524261474609,883.1585846405101,8.685347662557264,14.60778857145685,-181609809,32067330.7,0,Neutral,Neutral
2026-02-02,HDFCBANK.NS,Banking,900.1126164754811,914.6718030723491,894.5053455447564,912.9994506835938,28032106,-0.0012,12.89,1.43,919.6372192382812,955.5831872558593,,923.7305790552422,929.2381135472517,-12.941421172729747,-14.850485905935152,1.9090647332054047,31.186461149069704,37.49754075334514,54.09816934706795,59.258559189429086,-45.90183065293205,948.0307499274774,919.6372192382812,891.243688549085,6.174941617242069,15.00483635403798,-209641915,32881363.05,0,Neutral,Neutral
2026-02-03,HDFCBANK.NS,Banking,967.7440559401642,977.8272849855383,929.6245315003357,933.2643432617188,50336968,0.0222,-34.48,-3.56,918.2206481933594,954.61224609375,,924.6385565987161,929.5363527853604,-10.629252582038816,-14.006239241155885,3.376986659117069,30.718546125407084,51.79390053846396,49.101122723159136,53.33026951296737,-50.89887727684088,940.2024973952556,918.2206481933594,896.2387989914631,4.787923086928294,18.56362192174559,-159304947,34015842.5,0,Neutral,Neutral
2026-02-04,HDFCBANK.NS,Banking,937.0024986247718,941.62604002273,932.5265406922532,937.5927124023438,24366770,0.0046,0.59,0.06,917.7730499267578,953.70623046875,,925.8722857228712,930.1331201643961,-8.351310391994275,-12.875253471323564,4.523943079329289,30.28405360343465,54.20339702770077,54.044897105535206,52.414729725254084,-45.9551028944648,937.698048344755,917.7730499267578,897.8480515087607,4.34203170807581,17.887613165226387,-134938177,33634741.85,0,Neutral,Neutral
2026-02-05,HDFCBANK.NS,Banking,940.4455315704454,940.4947060438036,931.2968579683982,934.248046875,28103169,-0.0036,-6.2,-0.66,917.8050201416015,952.9172790527343,,926.6699772611692,930.4379295503668,-6.738237146795996,-11.64785020641805,4.909613059622055,29.790153910868757,52.03885930489456,50.22468879739845,51.12356954203093,-49.775311202601564,937.833334587494,917.8050201416015,897.776705695709,4.364394180978114,17.266915658810607,-163041346,32395664.7,0,Neutral,Neutral
2026-02-06,HDFCBANK.NS,Banking,929.6245335781572,932.674071523322,922.3449100391202,925.7879638671875,18120272,-0.0091,-3.84,-0.41,917.529574584961,951.6817138671875,,926.5859759855518,930.093487647909,-6.072522711474107,-10.532784707429263,4.460261995955156,28.6814557894125,46.93347988613625,40.56175564915055,48.277113850694725,-59.43824435084946,936.9504228446539,917.529574584961,898.1087263252681,4.233290958164001,16.883788600029835,-181161618,32205235.85,0,Neutral,Neutral
2026-02-09,HDFCBANK.NS,Banking,929.6245151050697,934.5431633331389,920.1315000080592,922.0006103515625,23947829,-0.0041,-7.62,-0.82,917.4434967041016,950.260224609375,,926.1492744966005,929.4940152555871,-5.783874101440233,-9.583002586231457,3.7991284847912237,27.49471006102547,44.81385754685297,36.235918208020195,42.34078755152306,-63.76408179197981,936.7688194471136,917.4434967041016,898.1181739610895,4.212863857542818,16.70720822324768,-205109447,31493435.35,0,Neutral,Neutral
2026-02-10,HDFCBANK.NS,Banking,914.868578036692,925.5912552799808,914.8194035624206,917.2295532226562,31525385,-0.0052,2.36,0.26,917.2196990966797,948.7806958007812,,925.2997772324153,928.5855365864811,-5.872408960255825,-8.84088386103633,2.968474900780505,26.01306613870205,42.22668061111296,30.786514692650524,35.86139618327375,-69.21348530734949,936.4458263310547,917.2196990966797,897.9935718623047,4.192262170842986,16.28325418712715,-236634832,32016121.3,0,Neutral,Neutral
2026-02-11,HDFCBANK.NS,Banking,916.098249190927,920.7709650928405,910.2450456843219,912.0157470703125,24869804,-0.0057,-4.08,-0.45,916.7155364990234,947.3051013183593,,924.0346315026912,927.3581447704687,-6.290767998999172,-8.3308606886289,2.040092689629727,24.31599650033741,39.540235335642215,24.831412331184687,30.617948410618457,-75.16858766881532,935.9322468969133,916.7155364990234,897.4988261011335,4.1925133005336255,15.872015988655107,-261504636,31657470.15,0,Neutral,Neutral
